SalePrice,id
120129.31638285187,1461
153008.78540649876,1462
181999.66786591843,1463
195952.28499780287,1464
197477.8125872035,1465
171222.8437366318,1466
178212.01779580928,1467
161123.61215957563,1468
193898.47881496898,1469
119925.60478980588,1470
189952.6784780828,1471
97385.92416901965,1472
96173.51867350182,1473
146413.76269308914,1474
113408.51351352464,1475
363558.8497525451,1476
250762.12819425605,1477
294599.1815289544,1478
299293.44565708254,1479
474977.58803628816,1480
325368.5976020468,1481
210850.56526419768,1482
177057.72071004263,1483
162710.8451215373,1484
191473.76554705846,1485
193107.96177746565,1486
339866.0295461026,1487
238341.33532048418,1488
193749.6082050262,1489
231349.0659469988,1490
195044.0702841488,1491
92756.67611514157,1492
189749.58843921273,1493
299951.37928339146,1494
293285.5911212206,1495
235702.15766154378,1496
179388.32508260966,1497
167787.27829460753,1498
162374.42494971008,1499
152697.7749543966,1500
174507.69277533883,1501
145503.6506212222,1502
290290.22303373506,1503
242519.03379921542,1504
225593.9751779172,1505
188193.22519878796,1506
245834.55147804398,1507
202873.92776776533,1508
163898.0977788804,1509
143480.39546743763,1510
148092.6730057099,1511
175334.35530234547,1512
152363.35065623088,1513
155109.81990672945,1514
197374.40600365406,1515
157898.1108176084,1516
168347.7479253745,1517
132466.49684443168,1518
209170.4308041955,1519
127540.30850578858,1520
130083.47515553536,1521
178496.1397739455,1522
110130.51159133464,1523
125686.44701638781,1524
120266.19747097118,1525
113488.37444080865,1526
107566.1745008582,1527
137378.38934699463,1528
149722.5649900274,1529
184338.3627019246,1530
105988.75185360089,1531
98505.57943429315,1532
142816.38267748768,1533
127215.27170736785,1534
147673.90202250797,1535
106379.1156371906,1536
64977.58596862501,1537
147236.9720549623,1538
191933.5583751053,1539
94263.45850341642,1540
138707.1051419694,1541
139649.24986487327,1542
189700.53751999236,1543
85068.0084813381,1544
115257.94054333318,1545
135137.91282301547,1546
127884.20576731034,1547
138708.24355731002,1548
119838.49286651268,1549
135618.02321826073,1550
108884.99981547246,1551
136390.98109602084,1552
148289.80774366978,1553
116891.82272110358,1554
